,Utterance
66,说你的学霸弟弟要来了
67,你得好好照顾他
68,不能让他在学校被欺负了
69,咱们正好要去超市给他买点什么生活用品什么的
91,你大姨他当年嫁到福建的时候
92,户口没调过去
93,他随你大姨一直留在北京的户口就在咱们家
94,你早跟我说不就完了吗
121,校长您说的这些我都明白
122,而且我觉得这两者之间并不冲突
145,行 校长
146,我明白了
157,没说给他就让他开一下
166,但是姥姥姥爷宠着
167,那是因为你们常年不在怕委屈了孩子
177,他是不是老跟你说
178,不想跟我们在一块住
183,是不是
192,别
193,你姐夫他就怕招摇
194,你千万别给他弄那么贵的中式家具
195,不用
213,回来了
225,最近睡的不好
226,睡得不好 老是失眠
231,我学习去了
242,宋倩
243,你把门打开一下
244,我给孩子拿着点东西
248,我跟孩子约好了孩子等着
249,你把门打开
250,他那做卷子
251,我这也有学生都挺忙的
253,先回去
257,有本事让他送进门
263,高三哪有时间玩这个
264,拿走
265,这是孩子的兴趣爱好
266,我这当爸爸的不得支持吗
271,我就放下就走了
276,我不耽误事
288,最近怎么那么忙
291,不是 英子
293,大学 这不还有一年吗
301,您不来帮他忙了
320,把门关上
322,你要跟谁见啊
338,六回
339,你还什么时候见过他
342,大概
343,我不跟你扯了
344,你就说
345,你誓师大会跟谁见
346,你跟谁打招呼了
347,跟方圆打招呼是吧
348,他们是孩子家长是吧
363,你是怕你那些老同事看见我了
364,你尴尬是不是
369,你还一个人站操场边上
370,还不够显眼是吧
371,还嫌不够丢人现眼是吧
373,我离你既远又近若离
374,让人觉得我们既是一个家庭
375,同时又是一个不甚完美的家庭
381,我知道
386,你现在的生活我们从来都不打扰
387,那是你的生活对吧
388,也请你不要再来打扰我们母女俩了
389,行吗
393,我觉得英子现在是努力有余
394,放松不够
395,孩子经常说压力大
396,又不敢跟你讲
397,你怎么知道的
398,血缘、血缘的感应
399,我作为孩子的父亲
400,我能不能让孩子放松一下
401,你是好心
402,我知道你做事总是想尽善尽美
403,但是在孩子的教育上要张弛有度
404,不能把孩子逼得太紧
