,Utterance
628,他们是一家的
629,听懂了
882,有我们家的吗
1079,你这是什么
1111,你听小姨的话
1112,你早餐想吃点什么
1113,小姨给你去买
1152,行
1153,都听您的
1156,妈妈怪心疼的
1157,好
1158,那我走了
1536,我不对你好
1537,我对谁好
1538,你是我亲闺女
1539,我是你亲爹
1540,全世界没有比父女更亲的 知道吗
1541,你说这么多年 你妈呲我
1542,为什么我不生气
1543,那就是因为她给我生了你这么个闺女
1544,我这心里一辈子都感激她
1545,知道吗
1788,重要的是过来看看你
1789,老爸能陪你一起吃一顿早饭
1799,多吃点啊
1800,多吃点
1801,好
1866,我记得你跟我说过
1936,准备在婚礼上的时候做一个视频
1937,把我当年英俊潇洒的样子展示回顾一下
1938,女人的虚荣心可以理解
2035,我弄汤呢
2039,我跟你说今天孩子们说了
2040,下午学校老师要开年级会
2041,要晚上没有晚自习
2042,这马上就回来了
2046,英子 回来了
2049,快进来
2050,快点来帮帮我
2071,我觉得这玩具其实还挺好的
2072,寓教于乐的
2081,我只是今天开明啊
2082,我觉得我一直挺开明的
2083,要不然我的学生怎么那么喜欢我呢
2085,快帮我看看为什么一直安不上
2086,然后我都拼到这了了
2087,你看这怎么就没有 这怎么回事
2347,这就是我给你的补偿
2819,我还真有个地方
2843,这个位置是真好
2845,这个房子最好的就是位置
2846,二楼你看你上下楼也不用等电梯溜达就下去了
2847,从家门口出去到学校门口整整4分半
2978,来 坐坐坐
2979,坐
2982,应该的
2986,1+1>2
2988,你能这么想当然最好了
3205,孩子们再一考上大学
3206,我们共享清福是
3348,再给你出一主意
3371,好的
3372,您二位点了一份双重知识披萨
3373,9寸的 一份新鲜炸鸡翅
3374,两杯果汁
3379,好的
3380,我下单了
3381,谢谢
3382,不客气
3383,咱们俩好久没有单独在一起吃饭了
3387,原来那有一家麦当劳的
3389,你还记得吗
3400,我本来是要学卡丁车的
3401,但是不行 你舅舅让我来先练练卡丁车
3408,比我开得好
3424,那就是一游戏机跟真车比还差得远
3504,你先坐
3506,坐这儿
3507,干嘛
3508,让你坐就坐
3804,英子 怎么待这么一会就走了
3805,不会是躲着我吧
3816,这是我曾经战斗和生活过的地方
3825,知道我为什么离婚
3826,什么都没要
3827,就要了这个房子吗
3828,为什么
3913,你得了 还不知道你怎么想的
3916,你看我这有疹子吗
3935,你戴上
3936,带上
3976,这老师教的真
3977,挺好的
3978,挺仔细的
3979,长得也挺好看的
3982,对我也是一看他挺有眼缘的
3985,咱以后就上她的
4239,闺女来
4344,不错
4345,你继续保持
4420,应该我们去看您是才对
4946,让你多穿点
4947,好久都没陪你出来走走了
4948,是挺久没出来走走了
4951,小狗挺可爱的
4952,挺可爱的
4953,要不咱们也养一只
4954,想什么
5297,我帮你
5314,我知道了
5315,食堂的饭菜不合你胃口
5363,对
5364,喝杯水
5369,好好
5370,您看您忙的
5378,已经适应了
5379,对了
5380,我正在写总结报告
5381,准备跟您汇报一下自己的工作
5385,对
5386,18岁了
5780,酷
5781,真是酷
5855,真的好玩
5856,总比在这一直闷着头学习强
5873,你看 别学了 你看看现在还有5个人
5874,我手持满配m4 满配awm 三级头 三级包 三级甲
5875,两个手雷
5876,一个烟雾弹
5878,点出去了
5945,刘静
5948,我是真心的
5981,快起来
5989,您做的肯定特别有营养
5991,我先下趟楼给你买去
6001,还有这个
6011,感觉怎么样
6013,还行吗
6048,你再吃一口
6049,来
6051,多吃点啊
6083,我就觉得宇宙特别浪漫
6084,研究宇宙的天文学也特别浪漫
6085,而且研究宇宙的时候
6086,我们才能感受到自己有多渺小
6087,也只有在研究宇宙的时候
6113,但我就是希望可以一辈子不用活在条条框框里
6114,我可以一辈子过着无拘无束的人生
6115,我希望我可以一辈子都过得和别人不一样
6118,现在不是都说什么有趣的灵魂
6119,万里挑一吗
6122,没有
6123,我觉得特别有意思
6124,真的
6125,我觉得你有思想有勇气
6126,阿姨要是能有你这一半就好了
6130,你肯定是个特别好的妈妈
6131,杨杨平时在家里边是不是就特别开心
6132,特别自由
6665,你看方一凡跳的才好
6666,那现在在网上特别红
6667,叫什么舞
6773,那行
6774,吃完饭以后我去送你
6854,是 我们家杨杨就喜欢研究汽车
6855,是我看出来了
6856,开学那天我看见他吧 穿了一个赛车服
6867,你要说成熟
6868,我觉得英子是真是成熟 特别好
6869,这孩子 您教育的可真好
6876,比我们家杨杨不知道强多少倍
6877,我老跟老季讲
6878,羡慕您
6879,我们要是能有这么个女儿就好了
6885,结果一了解是英子
6886,你看咱们这又成了邻居了
6887,是挺有缘分的
6888,他跟杨杨以前还是两年的同学
6891,所以我就特别的关注他
6906,可以
6907,当然可以
6913,客气了
6998,现在特别火的一个网红面包
6999,你尝尝
7000,好好
7001,你们小朋友一天一个新花样
7002,这怎么吃
7003,就直接咬着吃
7008,我尝尝
7009,好吃
7011,你们这些小朋友净发明这些新鲜玩意
7012,一天一个样的
7013,您 干纸巾擦不干净
7014,我就湿纸巾帮您擦 来
7016,是吧 季杨杨平时不跟您说这些吗
7058,我就希望
7059,如果有一天我可以像他一样站在太空看地球
7128,继续吃
7143,我也刚回来
7150,去他们家干嘛
7153,就刘静阿姨
7154,想感谢我
7155,谢什么
7156,我不是给
7157,季杨杨送卷子去了
7158,他在学校管我要来的
7159,想看一下解题步骤什么的
7160,你喝点水
7161,然后刘静阿姨就送我出门了
7174,行
7175,你先去写作业
7176,好不好
7178,做好了叫你 怎么了
7182,你有什么特别想吃的东西吗
7183,您做什么我都爱吃
7185,做好以后 吃完饭以后 再给你看
7477,行 以后多蒸煮
7478,少煎炸 少吃点油
7479,对身体好
7480,好勒
7847,你再喝点来
7865,去
7873,对
7875,对
7945,你别看妈妈平时对你挺严格的
7946,其实妈妈还是最爱你的
7947,我都知道
7959,当然了
7960,这世界上妈妈最爱你了
7961,你可是妈妈的一切
7963,那还用说嘛
7964,我宝贝的要求我全力以赴的也得支持
7965,当然了也得是合理要求
7966,完不成的妈妈也做不到
7970,你的理想
7971,你的梦想
7972,妈妈永远是支持的
8274,五官长得好看
8275,最关键的 他有悟性
